Sample Coleosporium_tussilaginis Dothistroma_septosporum Gremmenia_infestans Lophodermella_sulcigena Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
96 CR3-7338-T1-ITS 0 0.0753744101757505 4.10312521370444e-05 0 7.5223962251248e-05 0 0 0 0
97 CR3-7445-T1-ITS 0 0.0599672701237598 0.000347754935051652 0 0.000678463059561556 5.45497937335924e-05 0 0 0
98 CR3-7619-T1-ITS 0 0.0204413646193912 0 0 4.22140969105776e-05 0 9.74171467167174e-06 3.24723822389058e-05 0
99 CR3-7642-T1-ITS 0 0.000901896990002305 0.000110231854333615 0 0.000327355203778614 0 0 0 0
100 CR4-7135-T1-ITS 3.56122819638037e-05 0.0054415566840692 0 0 0.00029202071210319 0 0 2.84898255710429e-05 0
101 CR4-7143-T1-ITS 0 9.7143967359627e-05 0.000388575869438508 0 3.88575869438508e-05 0 0 1.94287934719254e-05 0
102 CR4-7211-T1-ITS 0.000910630702824776 0.00998051250295955 0 0 0.000273189210847433 0.000139630041099799 0 0 0
103 CR4-7671-T1-ITS 0 0.000269457878623163 5.11040804285309e-05 0 0 0 0 0 0
104 CR7-7154-T1-ITS 0 0.0149518822170313 5.59804984300015e-05 0 0.000447843987440012 3.05348173254554e-05 0 0.000167941495290004 0
105 CR7-7183-T1-ITS 2.83053582043081e-05 0.0113504486399275 0 0 0.000122656552218668 0 0 1.8870238802872e-05 0
106 CR7-7648-T1-ITS 0 0.00289207908053864 0 0 0 0 0 0 0
107 CR7-7652-T1-ITS 0 0.00137642052260422 3.0490328032372e-05 0 6.96921783597075e-05 3.48460891798537e-05 0 0 0
108 CR9-7298-T1-ITS 0 0.000693387853429694 0.000285279573982503 0 0 5.94332445796881e-05 0.000289241790287815 0 0
109 CR9-7320-T1-ITS 7.13272414585628e-05 0.0279602786517566 7.92524905095143e-05 0 0.00213189199470593 3.17009962038057e-05 3.96262452547571e-05 0.000253607969630446 0
110 CR9-7389-T1-ITS 0 0.00384402384597843 0.000105873538130762 0 0.00035834120598104 0 0 0 0
111 CR9-7469-T1-ITS 0 0.0183683046188912 0.000143652017353164 0 4.78840057843879e-05 0 0 0 0
112 EP1-Pine-Rep1-T1-ITS 0 0.00393296333894606 0 0 0.000145890448430766 0 0 0.000136772295403843 0
113 EP1-Pine-Rep2-T1-ITS 0 0.00384306721976693 0 0 2.82578472041686e-05 1.69547083225012e-05 0 0 0
114 EP1-Pine-Rep3-T1-ITS 0 0.00377310440039138 0 0 0.000201053520447143 0 0 0.000288176712640905 0
115 EP1-Syn-Rep1-T1-ITS 0 0 0 0 0 0 0 0 0
116 EP1-Syn-Rep2-T1-ITS 0 0 0 0 0 0 0 0 0
117 EP1-Syn-Rep3-T1-ITS 0 0 0 0 0 0 0 0 0
118 EP1-Syn-Rep4-T1-ITS 0 0 0 0 0 0 0 0 0
119 EP2-DNAblank-T1-ITS 0 0 0 0 0 0 0 0 0
120 EP2-Idx-Blank-T1-ITS 0 0 0 0 0 0 0 0 0
121 EP2-Pine-Rep1-T1-ITS 0 0.00350326823258138 0 0 0.000108858617396597 0 0 9.4014260478879e-05 0
122 EP2-Pine-Rep2-T1-ITS 0 0.00395500492076194 0.000354110905696127 0 4.59884293111853e-05 9.65757015534891e-05 0 9.19768586223706e-05 0
123 EP2-Pine-Rep3-T1-ITS 0 0.00455004367185995 9.92100159319614e-05 0 6.80853050513461e-05 9.72647215019229e-06 0 0 0
124 EP2-Syn-Extr-T1-ITS 0 0 0 0 0 0 0 0 0
125 EP2-Syn-Rep1-T1-ITS 0 0 0 0 0 0 0 0 0
126 EP2-Syn-Rep2-T1-ITS 0 0 0 0 0 0 0 0 0
127 EP2-Syn-Rep3-T1-ITS 0 0 0 0 0 0 0 0 0
128 EP2-Syn-Rep4-T1-ITS 0 0 0 0 0 0 0 0 0
129 EP3-Amp-Blank-T1-ITS 0 0 0 0 0 0 0 0 0
130 EP3-Pine-Rep1-T1-ITS 0 0.00413490699434872 3.57073142862584e-05 0 9.28390171442718e-05 0.000123785356192362 0 5.47512152389295e-05 0
131 EP3-Pine-Rep2-T1-ITS 0 0.00353733732957347 0.000146811964344083 0 0.000157892112596467 3.87805188833427e-05 0 6.92509265773976e-05 0
132 EP3-Syn-Extr-T1-ITS 0 0 0 0 0 0 0 0 0
133 EP3-Syn-Rep1-T1-ITS 0 0 0 0 0 0 0 0 0
134 EP3-Syn-Rep2-T1-ITS 0 0 0 0 0 0 0 0 0
135 EP3-Syn-Rep3-T1-ITS 0 0 0 0 0 0 0 0 0
136 EP3-Syn-Rep4-T1-ITS 0 0 0 0 0 0 0 0 0
137 GC1-7085-T1-ITS 0 0.00672170577910681 0 0 0.000312032763440161 4.76716721922468e-05 0 0 0
138 GC1-7128-T1-ITS 0 0.0011917915357972 0 0 0 0 0 0.000124144951645541 0
139 GC1-7294-T1-ITS 0 0.00734884861749196 0 0 0.000528286935275417 0 0 0 0
140 GC1-7368-T1-ITS 0 0.0177151743607767 0.000356049277219967 0 0.000424962040552864 6.89127633328969e-06 3.44563816664484e-05 0 0
141 GC2-7078-T1-ITS 8.69864753428137e-05 0.00621431379849061 7.30686392879635e-05 0 0.000247041589973591 0 0 0 0
142 GC2-7136-T1-ITS 0 0.00300502853846762 0.000162811143725026 0 0.000423308973685067 0 0 0 0
143 GC2-7276-T1-ITS 0 0.0126510857011875 0 0 0.000176321751932927 0 0 0 0
144 GC2-7507-T1-ITS 0 0.0193390247539517 8.38801073665374e-05 0 0.00258164330450343 0.000251640322099612 0.000549880703847301 0 0
145 GC5-7089-T1-ITS 0 0.000464322465677785 0.000326280651557363 0 0.000138041814120423 0 0 0.000727856838089501 0
146 GC5-7178-T1-ITS 0 0.0305018548814489 2.88025069702067e-05 0 0.000547247632433927 0.000138252033456992 0 0 0
