Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
57 BW10-7396-T3-ITS 0 0 0.117493004671698 0.000195502625030038 0 0.00149885345856363 0.000130335083353359 0 4.88756562575095e-05 0
58 BW10-7534-T3-ITS 0 0 0.0987824693391502 5.19361037534964e-05 0 0.000356133282881118 0 0 0 0
59 BW10-7633-T3-ITS 9.30189293521232e-06 0 0.172089670247895 6.51132505464862e-05 0 0.000446490860890191 2.79056788056369e-05 0 5.11604111436677e-05 0
60 BW2-7025-T3-ITS 0.000310124577702703 0 0.0139622043918919 0.000277132601351351 0 0.000607052364864865 0 0 0.000356313344594595 0
61 BW2-7261-T3-ITS 0 0 0.0759770091263056 0 0 0.00218372097814219 0.00031416740487423 0 0.000345069116829072 0
62 BW2-7362-T3-ITS 0 0 0.0578423517262254 2.49274433345797e-05 0 0.000302690383348468 1.78053166675569e-05 0 1.42442533340455e-05 0
63 BW2-7628-T3-ITS 0 0 0.0255938801349345 2.65619143466802e-05 0 0.000365964153220927 0 0 0.00303396088315414 0
64 BW3-7101-T3-ITS 0 0 0.0683189241114313 6.63697493668675e-05 0 0.00180246266701598 0.000199109248100603 0 0.000461095100864553 0
65 BW3-7429-T3-ITS 0 0 0.0255157456168903 0.000106215672636444 0 0.000510520491059039 0.000267252337601376 0 4.11157442463655e-05 0
66 BW3-7594-T3-ITS 0 0 0.102576874205845 5.59085133418043e-05 0 0.00649047013977128 0.000106734434561626 0 0.0012858958068615 0
67 BW6-7035-T3-ITS 0 0 0.108716313442646 0.000106588975147004 0 0.00100815405659875 1.33236218933755e-05 0 0 0
68 BW6-7173-T3-ITS 0 0 0.0936888005348574 0 0 0.00215954608116343 5.32490814533449e-05 0 0.000177496938177816 0
69 BW6-7284-T3-ITS 2.07699417403134e-05 0 0.106544608642373 4.67323689157052e-05 0 0.00113715431028216 6.23098252209402e-05 0 0.00840144143395678 0
70 BW6-7567-T3-ITS 0 0 0.0982108994970731 3.29788111138593e-05 0 0.000857449088960343 0 0 0.00261082254651387 0
71 BW7-7366-T3-ITS 0 0 0.00939427631478746 2.74152032532708e-05 0 0.000539165663980992 3.95997380325022e-05 0 1.21845347792315e-05 0
72 BW7-7506-T3-ITS 0 0 0.0632858382108065 0 0 0.0105841999780638 0 0 0 0
73 BW7-7581-T3-ITS 0 0 0.223626498776449 2.62815159178381e-05 0 0.0016352943237766 0.000119726905847929 0 0.00460218545405699 0
74 BW7-7593-T3-ITS 0 0 0.090703474996973 3.39024094926747e-05 0 0.00305121685434072 4.35888122048674e-05 0 0.00125438915122896 0
75 CG2-7072-T3-ITS 5.35862604828122e-05 0 0.0614312890174959 0 0 0.000401896953621092 0 0 0 0
76 CG2-7148-T3-ITS 0 0 0.0260993006830267 2.90897243457721e-05 0 0.000453799699794045 0 0 5.81794486915442e-05 0
77 CG2-7160-T3-ITS 0 0 0.114742470768617 3.39776342222732e-05 0 0.000560630964667508 0 0 0 0
78 CG2-7208-T3-ITS 0 0 0.102332142111339 8.66820855709788e-05 0 0.000886521329703193 3.54608531881277e-05 0 0.000764378390944086 0
79 CG3-7376-T3-ITS 0 0 0.0252902773052059 0 0 0.000202024498128615 7.97465124191902e-06 0 0.000430631167063627 0
80 CG3-7382-T3-ITS 0 0 0.136544746384922 0 0 0.000376584353578473 1.05338280721251e-05 0 0.00012377247984747 0
81 CG3-7515-T3-ITS 0 0 0.17673212917837 2.77540326609456e-05 0 0.000538428233622345 0 0 0.038300565072105 0
82 CG3-7651-T3-ITS 2.52582657674724e-05 0 0.056027043183215 0 0 0.00201645155043655 0 0 7.15650863411718e-05 0
83 CG4-7097-T3-ITS 0 0 0.0353118038467699 0.000225681047160059 0 0.0491001878248715 1.82000844483918e-05 0 1.82000844483918e-05 0
84 CG4-7218-T3-ITS 0 0 0.122171488158248 0 0 0.000919532965730808 2.21193496911191e-05 0 0 0
85 CG4-7406-T3-ITS 0 0 0.165433799784715 0 0 0.000376031575170434 0 0 0.000103336921420883 0
86 CG4-7425-T3-ITS 1.07430233016175e-05 0 0.0151727299096512 3.22290699048526e-05 0 0.000512084110710436 1.79050388360292e-05 0 7.16201553441169e-06 0
87 CG6-7014-T3-ITS 0 0 0.0602924125448941 5.251952312273e-05 0 0.000795872773475217 0 0 1.21198899513992e-05 0
