Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermella_conjuncta Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii
50 BE5-7132-T2-ITS 0 0 0.261457292195769 0.0001146958103259 0 6.55404630433714e-05 0.00074552276711835 0 0 0.000376857662499386
51 BE5-7146-T2-ITS 0 0 0.241292010286424 0 0 3.10366232153942e-05 0.000975436729626674 0 0 0.000509887381395761
52 BE5-7334-T2-ITS 0 0 0.0217615922531412 6.70021475951519e-05 0 1.05792864623924e-05 0.000229217873351835 1.41057152831899e-05 0 6.34757187743544e-05
53 BE5-7509-T2-ITS 0 0 0.0384638584497839 1.50799235950538e-05 0 0 7.03729767769177e-05 0 8.04262591736202e-05 5.52930531818639e-05
54 BE7-7019-T2-ITS 0 0 0.109172703281911 0.000221391757142098 0 0.000230247427427782 0.000177113405713678 0 0 0
55 BE7-7378-T2-ITS 0 0 0.0541914093813478 8.95018250589545e-05 0 8.95018250589545e-05 0.00135420152697896 0 0 0.0165928600891905
56 BE7-7455-T2-ITS 0 0 0.228234957020057 0 0 2.29226361031519e-05 0.000275071633237822 1.71919770773639e-05 0 0.00159312320916905
57 BE7-7585-T2-ITS 0 0 0.107377279394173 0 0 0.000135229317716081 0.00036928005991699 0 0 0.000239251869805374
58 BW10-7357-T2-ITS 0 0 0.0766987545588435 4.77461959136602e-05 0 8.4474038924168e-05 0.000249749332471453 0 0 0.000194657567955692
59 BW10-7396-T2-ITS 0 0 0.0320784025552132 6.54809759575683e-05 0 6.54809759575683e-05 0.000258286071832631 0 0 5.8205311962283e-05
60 BW10-7534-T2-ITS 0 0 0.109935973289156 0 0 0.000271841679405914 0 0 0 0
61 BW10-7633-T2-ITS 0 0 0.0877406874212705 7.64801151700558e-05 0 5.84847939535721e-05 0.000229440345510167 0.000130466078819507 0 0
62 BW2-7025-T2-ITS 0 0 0.0135363873443881 0.000388722137479703 0 0 0.000123013334645476 0 0.000373960537322246 0
63 BW2-7261-T2-ITS 0 0 0.119134106214103 0.000224080385890012 0 0.000342017431095281 0.000807868759656096 0 0 0.00191647698458563
