id,Dothistroma_septosporum,Coleosporium_tussilaginis,Cyclaneusma_minus,Gremmenia_infestans,Gremmeniella_abietina,Lophodermella_conjuncta,Lophodermium_conigenum,Lophodermium_seditiosum,Pachyramichloridium_pini,Rhizosphaera_kalkhoffii,Sirococcus_piceicola
7357,0.103920081,0,0,3.50747E-05,0,0.002216086,0.00022958,0,0,5.10178E-05,0
7396,0.117493005,0,0,0.000195503,0,0.000195503,0.001498853,0.000130335,0,4.88757E-05,0
7534,0.098782469,0,0,5.19361E-05,0,0,0.000356133,0,0,0,0
7633,0.17208967,9.30189E-06,0,6.51133E-05,0,0.000106972,0.000446491,2.79057E-05,0,5.11604E-05,0
7025,0.013962204,0.000310125,0,0.000277133,0,0,0.000607052,0,0,0.000356313,0
7261,0.075977009,0,0,0,0,0.000684988,0.002183721,0.000314167,0,0.000345069,0
7362,0.057842352,0,0,2.49274E-05,0,1.06832E-05,0.00030269,1.78053E-05,0,1.42443E-05,0
7628,0.02559388,0,0,2.65619E-05,0,2.95132E-05,0.000365964,0,0,0.003033961,0
7101,0.068318924,0,0,6.63697E-05,0,1.74657E-05,0.001802463,0.000199109,0,0.000461095,0
7429,0.025515746,0,0,0.000106216,0,7.53789E-05,0.00051052,0.000267252,0,4.11157E-05,0
7594,0.102576874,0,0,5.59085E-05,0,5.59085E-05,0.00649047,0.000106734,0,0.001285896,0
7035,0.108716313,0,0,0.000106589,0,5.77357E-05,0.001008154,1.33236E-05,0,0,0
7173,0.093688801,0,0,0,0,0.000130164,0.002159546,5.32491E-05,0,0.000177497,0
7284,0.106544609,2.07699E-05,0,4.67324E-05,0,0,0.001137154,6.23098E-05,0,0.008401441,0
7567,0.098210899,0,0,3.29788E-05,0,0.000153901,0.000857449,0,0,0.002610823,0
7366,0.009394276,0,0,2.74152E-05,0,6.09227E-06,0.000539166,3.95997E-05,0,1.21845E-05,0
7506,0.063285838,0,0,0,0,4.98549E-05,0.0105842,0,0,0,0
7581,0.223626499,0,0,2.62815E-05,0,6.42437E-05,0.001635294,0.000119727,0,0.004602185,0
7593,0.090703475,0,0,3.39024E-05,0,0.097440368,0.003051217,4.35888E-05,0,0.001254389,0
7072,0.061431289,5.35863E-05,0,0,0,0,0.000401897,0,0,0,0
7148,0.026099301,0,0,2.90897E-05,0,0,0.0004538,0,0,5.81794E-05,0
7160,0.114742471,0,0,3.39776E-05,0,0,0.000560631,0,0,0,0
7208,0.102332142,0,0,8.66821E-05,0,7.09217E-05,0.000886521,3.54609E-05,0,0.000764378,0
7376,0.025290277,0,0,0,0,5.31643E-06,0.000202024,7.97465E-06,0,0.000430631,0
7382,0.136544746,0,0,0,0,3.68684E-05,0.000376584,1.05338E-05,0,0.000123772,0
7515,0.176732129,0,0,2.7754E-05,0,2.49786E-05,0.000538428,0,0,0.038300565,0
7651,0.056027043,2.52583E-05,0,0,0,0,0.002016452,0,0,7.15651E-05,0
7097,0.035311804,0,0,0.000225681,0,0,0.049100188,1.82001E-05,0,1.82001E-05,0
7218,0.122171488,0,0,0,0,0,0.000919533,2.21193E-05,0,0,0
7406,0.1654338,0,0,0,0,0,0.000376032,0,0,0.000103337,0
7425,0.01517273,1.0743E-05,0,3.22291E-05,0,3.93911E-05,0.000512084,1.7905E-05,0,7.16202E-06,0
7014,0.060292413,0,0,5.25195E-05,0,0,0.000795873,0,0,1.21199E-05,0
7344,0.010074328,0.000313798,0,1.40507E-05,0,9.36711E-06,0.000206076,0,0,3.27849E-05,0
7551,0.136731613,0,0,0,0,6.75468E-06,0.000624808,3.03961E-05,0,5.06601E-05,0
7197,0.130567454,0,0,5.30685E-05,0,0,0.000322202,0,0,0.001254691,0
7434,0.02008305,0,0,5.39287E-05,0,1.07857E-05,0.000866455,8.98812E-05,2.15715E-05,4.67382E-05,0
7574,0.208839662,0,0,3.01661E-05,0,0,0.000834594,2.01107E-05,0,0.000286578,0
7655,0.130482369,2.53688E-05,0,3.98652E-05,0,0,0.000431269,1.08723E-05,0,0.000105099,0
